date,season,month,team,opponent,home_away,runs_for,runs_against,result,win,loss,draw,run_diff,stadium,game_id,source_url
2023-04-01,2023,4,KIA,SSG,away,1,4,L,0,1,0,-3,문학,20230401HTSK0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230401&gameId=20230401HTSK0
2023-04-01,2023,4,삼성,NC,home,0,8,L,0,1,0,-8,대구,20230401NCSS0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230401&gameId=20230401NCSS0
2023-04-02,2023,4,KIA,SSG,away,9,5,W,1,0,0,4,문학,20230402HTSK0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230402&gameId=20230402HTSK0
2023-04-02,2023,4,삼성,NC,home,8,6,W,1,0,0,2,대구,20230402NCSS0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230402&gameId=20230402NCSS0
2023-04-04,2023,4,삼성,한화,home,7,6,W,1,0,0,1,대구,20230404HHSS0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230404&gameId=20230404HHSS0
2023-04-06,2023,4,삼성,한화,home,1,8,L,0,1,0,-7,대구,20230406HHSS0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230406&gameId=20230406HHSS0
2023-04-07,2023,4,KIA,두산,home,1,4,L,0,1,0,-3,광주,20230407OBHT0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230407&gameId=20230407OBHT0
2023-04-07,2023,4,삼성,LG,away,2,7,L,0,1,0,-5,잠실,20230407SSLG0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230407&gameId=20230407SSLG0
2023-04-08,2023,4,KIA,두산,home,7,6,W,1,0,0,1,광주,20230408OBHT0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230408&gameId=20230408OBHT0
2023-04-08,2023,4,삼성,LG,away,1,2,L,0,1,0,-1,잠실,20230408SSLG0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230408&gameId=20230408SSLG0
2023-04-09,2023,4,KIA,두산,home,2,3,L,0,1,0,-1,광주,20230409OBHT0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230409&gameId=20230409OBHT0
2023-04-09,2023,4,삼성,LG,away,2,3,L,0,1,0,-1,잠실,20230409SSLG0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230409&gameId=20230409SSLG0
2023-04-11,2023,4,KIA,한화,home,4,5,L,0,1,0,-1,광주,20230411HHHT0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230411&gameId=20230411HHHT0
2023-04-11,2023,4,삼성,SSG,home,4,5,L,0,1,0,-1,대구,20230411SKSS0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230411&gameId=20230411SKSS0
2023-04-12,2023,4,KIA,한화,home,2,0,W,1,0,0,2,광주,20230412HHHT0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230412&gameId=20230412HHHT0
2023-04-12,2023,4,삼성,SSG,home,0,3,L,0,1,0,-3,대구,20230412SKSS0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230412&gameId=20230412SKSS0
2023-04-13,2023,4,KIA,한화,home,1,5,L,0,1,0,-4,광주,20230413HHHT0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230413&gameId=20230413HHHT0
2023-04-13,2023,4,삼성,SSG,home,11,9,W,1,0,0,2,대구,20230413SKSS0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230413&gameId=20230413SKSS0
2023-04-14,2023,4,KIA,키움,away,2,9,L,0,1,0,-7,고척,20230414HTWO0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230414&gameId=20230414HTWO0
2023-04-14,2023,4,삼성,롯데,home,9,7,W,1,0,0,2,대구,20230414LTSS0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230414&gameId=20230414LTSS0
2023-04-15,2023,4,KIA,키움,away,1,6,L,0,1,0,-5,고척,20230415HTWO0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230415&gameId=20230415HTWO0
2023-04-15,2023,4,삼성,롯데,home,5,9,L,0,1,0,-4,대구,20230415LTSS0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230415&gameId=20230415LTSS0
2023-04-16,2023,4,KIA,키움,away,0,2,L,0,1,0,-2,고척,20230416HTWO0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230416&gameId=20230416HTWO0
2023-04-16,2023,4,삼성,롯데,home,9,1,W,1,0,0,8,대구,20230416LTSS0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230416&gameId=20230416LTSS0
2023-04-18,2023,4,KIA,롯데,away,5,7,L,0,1,0,-2,사직,20230418HTLT0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230418&gameId=20230418HTLT0
2023-04-18,2023,4,삼성,키움,away,6,4,W,1,0,0,2,고척,20230418SSWO0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230418&gameId=20230418SSWO0
2023-04-19,2023,4,KIA,롯데,away,6,0,W,1,0,0,6,사직,20230419HTLT0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230419&gameId=20230419HTLT0
2023-04-19,2023,4,삼성,키움,away,9,5,W,1,0,0,4,고척,20230419SSWO0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230419&gameId=20230419SSWO0
2023-04-20,2023,4,KIA,롯데,away,3,5,L,0,1,0,-2,사직,20230420HTLT0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230420&gameId=20230420HTLT0
2023-04-20,2023,4,삼성,키움,away,1,6,L,0,1,0,-5,고척,20230420SSWO0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230420&gameId=20230420SSWO0
2023-04-21,2023,4,KIA,삼성,home,5,4,W,1,0,0,1,광주,20230421SSHT0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230421&gameId=20230421SSHT0
2023-04-21,2023,4,삼성,KIA,away,4,5,L,0,1,0,-1,광주,20230421SSHT0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230421&gameId=20230421SSHT0
2023-04-22,2023,4,KIA,삼성,home,6,2,W,1,0,0,4,광주,20230422SSHT0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230422&gameId=20230422SSHT0
