team,month,training_period,predicted_win_rate,actual_win_rate,abs_error,actual_games
KIA,3,2023-2024,0.833,0.375,0.458,8
KIA,4,2023-2024,0.583,0.500,0.083,22
KIA,5,2023-2024,0.511,0.500,0.011,25
KIA,6,2023-2024,0.400,0.682,0.282,24
KIA,7,2023-2024,0.684,0.333,0.351,19
KIA,8,2023-2024,0.614,0.417,0.197,24
KIA,9,2023-2024,0.545,0.316,0.229,19
KIA,10,2023-2024,0.643,0.667,0.024,3
삼성,3,2023-2024,0.286,0.625,0.339,8
삼성,4,2023-2024,0.583,0.591,0.008,23
삼성,5,2023-2024,0.435,0.462,0.027,26
삼성,6,2023-2024,0.420,0.409,0.011,22
삼성,7,2023-2024,0.459,0.474,0.015,19
삼성,8,2023-2024,0.630,0.577,0.053,27
삼성,9,2023-2024,0.436,0.611,0.175,18
삼성,10,2023-2024,0.417,0.000,0.417,1
