season,month,team,games,wins,losses,draws,win_rate
2023,4,KIA,23,12,11,0,0.522
2023,4,삼성,24,12,12,0,0.500
2023,5,KIA,21,10,11,0,0.476
2023,5,삼성,22,8,14,0,0.364
2023,6,KIA,23,7,15,1,0.318
2023,6,삼성,25,7,18,0,0.280
2023,7,KIA,16,11,5,0,0.688
2023,7,삼성,18,9,8,1,0.529
2023,8,KIA,22,13,8,1,0.619
2023,8,삼성,22,12,10,0,0.545
2023,9,KIA,25,11,14,0,0.440
2023,9,삼성,21,8,13,0,0.381
2023,10,KIA,14,9,5,0,0.643
2023,10,삼성,12,5,7,0,0.417
2024,3,KIA,6,5,1,0,0.833
2024,3,삼성,8,2,5,1,0.286
2024,4,KIA,25,16,9,0,0.640
2024,4,삼성,24,16,8,0,0.667
2024,5,KIA,25,13,11,1,0.542
2024,5,삼성,24,12,12,0,0.500
2024,6,KIA,24,11,12,1,0.478
2024,6,삼성,26,14,11,1,0.560
2024,7,KIA,22,15,7,0,0.682
2024,7,삼성,20,8,12,0,0.400
2024,8,KIA,23,14,9,0,0.609
2024,8,삼성,24,17,7,0,0.708
2024,9,KIA,19,13,6,0,0.684
2024,9,삼성,18,9,9,0,0.500
2025,3,KIA,8,3,5,0,0.375
2025,3,삼성,8,5,3,0,0.625
2025,4,KIA,22,11,11,0,0.500
2025,4,삼성,23,13,9,1,0.591
2025,5,KIA,25,12,12,1,0.500
2025,5,삼성,26,12,14,0,0.462
2025,6,KIA,24,15,7,2,0.682
2025,6,삼성,22,9,13,0,0.409
2025,7,KIA,19,6,12,1,0.333
2025,7,삼성,19,9,10,0,0.474
2025,8,KIA,24,10,14,0,0.417
2025,8,삼성,27,15,11,1,0.577
2025,9,KIA,19,6,13,0,0.316
2025,9,삼성,18,11,7,0,0.611
2025,10,KIA,3,2,1,0,0.667
2025,10,삼성,1,0,1,0,0.000
