team,game_number,date,month,monthly_win_rate,rolling_10_win_rate
KIA,1,2025-03-22,3,0.375,
KIA,2,2025-03-23,3,0.375,
KIA,3,2025-03-25,3,0.375,
KIA,4,2025-03-26,3,0.375,
KIA,5,2025-03-27,3,0.375,
KIA,6,2025-03-28,3,0.375,
KIA,7,2025-03-29,3,0.375,
KIA,8,2025-03-30,3,0.375,
KIA,9,2025-04-02,4,0.500,
KIA,10,2025-04-03,4,0.500,0.400
KIA,11,2025-04-04,4,0.500,0.300
KIA,12,2025-04-06,4,0.500,0.300
KIA,13,2025-04-08,4,0.500,0.300
KIA,14,2025-04-09,4,0.500,0.400
KIA,15,2025-04-10,4,0.500,0.400
KIA,16,2025-04-11,4,0.500,0.400
KIA,17,2025-04-13,4,0.500,0.500
KIA,18,2025-04-15,4,0.500,0.500
KIA,19,2025-04-16,4,0.500,0.500
KIA,20,2025-04-17,4,0.500,0.500
KIA,21,2025-04-18,4,0.500,0.500
KIA,22,2025-04-19,4,0.500,0.600
KIA,23,2025-04-20,4,0.500,0.600
KIA,24,2025-04-23,4,0.500,0.500
KIA,25,2025-04-24,4,0.500,0.500
KIA,26,2025-04-25,4,0.500,0.500
KIA,27,2025-04-26,4,0.500,0.500
KIA,28,2025-04-27,4,0.500,0.500
KIA,29,2025-04-29,4,0.500,0.600
KIA,30,2025-04-30,4,0.500,0.500
KIA,31,2025-05-02,5,0.500,0.500
KIA,32,2025-05-04,5,0.500,0.400
KIA,33,2025-05-05,5,0.500,0.400
KIA,34,2025-05-06,5,0.500,0.500
KIA,35,2025-05-07,5,0.500,0.500
KIA,36,2025-05-10,5,0.500,0.600
KIA,37,2025-05-11,5,0.500,0.500
KIA,38,2025-05-11,5,0.500,0.400
KIA,39,2025-05-13,5,0.500,0.400
KIA,40,2025-05-14,5,0.500,0.400
KIA,41,2025-05-15,5,0.500,0.500
KIA,42,2025-05-17,5,0.500,0.600
KIA,43,2025-05-17,5,0.500,0.600
KIA,44,2025-05-18,5,0.500,0.600
KIA,45,2025-05-20,5,0.500,0.600
KIA,46,2025-05-21,5,0.500,0.500
KIA,47,2025-05-22,5,0.500,0.600
KIA,48,2025-05-23,5,0.500,0.700
KIA,49,2025-05-24,5,0.500,0.600
KIA,50,2025-05-25,5,0.500,0.600
KIA,51,2025-05-27,5,0.500,0.600
KIA,52,2025-05-28,5,0.500,0.600
KIA,53,2025-05-29,5,0.500,0.556
KIA,54,2025-05-30,5,0.500,0.444
KIA,55,2025-05-31,5,0.500,0.444
KIA,56,2025-06-01,6,0.682,0.556
KIA,57,2025-06-03,6,0.682,0.556
KIA,58,2025-06-04,6,0.682,0.556
KIA,59,2025-06-05,6,0.682,0.556
KIA,60,2025-06-06,6,0.682,0.667
KIA,61,2025-06-07,6,0.682,0.556
KIA,62,2025-06-08,6,0.682,0.556
KIA,63,2025-06-10,6,0.682,0.500
KIA,64,2025-06-11,6,0.682,0.600
KIA,65,2025-06-12,6,0.682,0.600
KIA,66,2025-06-13,6,0.682,0.500
KIA,67,2025-06-14,6,0.682,0.500
KIA,68,2025-06-15,6,0.682,0.500
KIA,69,2025-06-17,6,0.682,0.600
KIA,70,2025-06-18,6,0.682,0.600
KIA,71,2025-06-19,6,0.682,0.700
KIA,72,2025-06-21,6,0.682,0.667
KIA,73,2025-06-22,6,0.682,0.778
KIA,74,2025-06-24,6,0.682,0.667
KIA,75,2025-06-25,6,0.682,0.778
KIA,76,2025-06-26,6,0.682,0.875
KIA,77,2025-06-27,6,0.682,0.750
KIA,78,2025-06-28,6,0.682,0.750
KIA,79,2025-06-29,6,0.682,0.750
KIA,80,2025-07-01,7,0.333,0.750
KIA,81,2025-07-02,7,0.333,0.625
KIA,82,2025-07-03,7,0.333,0.667
KIA,83,2025-07-04,7,0.333,0.667
KIA,84,2025-07-05,7,0.333,0.778
KIA,85,2025-07-06,7,0.333,0.667
KIA,86,2025-07-08,7,0.333,0.600
KIA,87,2025-07-09,7,0.333,0.600
KIA,88,2025-07-10,7,0.333,0.500
KIA,89,2025-07-20,7,0.333,0.500
KIA,90,2025-07-22,7,0.333,0.400
KIA,91,2025-07-23,7,0.333,0.400
KIA,92,2025-07-24,7,0.333,0.300
KIA,93,2025-07-25,7,0.333,0.200
KIA,94,2025-07-26,7,0.333,0.100
KIA,95,2025-07-27,7,0.333,0.100
KIA,96,2025-07-29,7,0.333,0.100
KIA,97,2025-07-30,7,0.333,0.111
KIA,98,2025-07-31,7,0.333,0.222
KIA,99,2025-08-01,8,0.417,0.222
KIA,100,2025-08-05,8,0.417,0.333
KIA,101,2025-08-06,8,0.417,0.333
KIA,102,2025-08-07,8,0.417,0.444
KIA,103,2025-08-08,8,0.417,0.444
KIA,104,2025-08-10,8,0.417,0.444
KIA,105,2025-08-12,8,0.417,0.556
KIA,106,2025-08-13,8,0.417,0.667
KIA,107,2025-08-14,8,0.417,0.700
KIA,108,2025-08-15,8,0.417,0.600
KIA,109,2025-08-16,8,0.417,0.500
KIA,110,2025-08-17,8,0.417,0.400
KIA,111,2025-08-19,8,0.417,0.500
KIA,112,2025-08-20,8,0.417,0.400
KIA,113,2025-08-21,8,0.417,0.400
KIA,114,2025-08-22,8,0.417,0.400
KIA,115,2025-08-23,8,0.417,0.300
KIA,116,2025-08-24,8,0.417,0.200
