date,season,month,team,opponent,result,rolling_window_games,rolling_wins,rolling_losses,rolling_draws,rolling_win_rate
2023-04-01,2023,4,KIA,SSG,L,1,0,1,0,
2023-04-02,2023,4,KIA,SSG,W,2,1,1,0,
2023-04-07,2023,4,KIA,두산,L,3,1,2,0,
2023-04-08,2023,4,KIA,두산,W,4,2,2,0,
2023-04-09,2023,4,KIA,두산,L,5,2,3,0,
2023-04-11,2023,4,KIA,한화,L,6,2,4,0,
2023-04-12,2023,4,KIA,한화,W,7,3,4,0,
2023-04-13,2023,4,KIA,한화,L,8,3,5,0,
2023-04-14,2023,4,KIA,키움,L,9,3,6,0,
2023-04-15,2023,4,KIA,키움,L,10,3,7,0,0.300
2023-04-16,2023,4,KIA,키움,L,10,3,7,0,0.300
2023-04-18,2023,4,KIA,롯데,L,10,2,8,0,0.200
2023-04-19,2023,4,KIA,롯데,W,10,3,7,0,0.300
2023-04-20,2023,4,KIA,롯데,L,10,2,8,0,0.200
2023-04-21,2023,4,KIA,삼성,W,10,3,7,0,0.300
2023-04-22,2023,4,KIA,삼성,W,10,4,6,0,0.400
2023-04-23,2023,4,KIA,삼성,W,10,4,6,0,0.400
2023-04-25,2023,4,KIA,NC,L,10,4,6,0,0.400
2023-04-26,2023,4,KIA,NC,W,10,5,5,0,0.500
2023-04-27,2023,4,KIA,NC,W,10,6,4,0,0.600
2023-04-28,2023,4,KIA,LG,W,10,7,3,0,0.700
2023-04-29,2023,4,KIA,LG,W,10,8,2,0,0.800
2023-04-30,2023,4,KIA,LG,W,10,8,2,0,0.800
2023-05-02,2023,5,KIA,롯데,L,10,8,2,0,0.800
2023-05-03,2023,5,KIA,롯데,W,10,8,2,0,0.800
2023-05-09,2023,5,KIA,SSG,W,10,8,2,0,0.800
2023-05-10,2023,5,KIA,SSG,L,10,7,3,0,0.700
2023-05-11,2023,5,KIA,SSG,L,10,7,3,0,0.700
2023-05-12,2023,5,KIA,두산,L,10,6,4,0,0.600
2023-05-13,2023,5,KIA,두산,L,10,5,5,0,0.500
2023-05-14,2023,5,KIA,두산,L,10,4,6,0,0.400
2023-05-16,2023,5,KIA,삼성,W,10,4,6,0,0.400
2023-05-17,2023,5,KIA,삼성,W,10,4,6,0,0.400
2023-05-19,2023,5,KIA,키움,W,10,5,5,0,0.500
2023-05-20,2023,5,KIA,키움,W,10,5,5,0,0.500
2023-05-21,2023,5,KIA,키움,L,10,4,6,0,0.400
2023-05-23,2023,5,KIA,한화,L,10,4,6,0,0.400
2023-05-24,2023,5,KIA,한화,W,10,5,5,0,0.500
2023-05-25,2023,5,KIA,한화,L,10,5,5,0,0.500
2023-05-26,2023,5,KIA,LG,L,10,5,5,0,0.500
2023-05-27,2023,5,KIA,LG,W,10,6,4,0,0.600
2023-05-28,2023,5,KIA,LG,L,10,5,5,0,0.500
2023-05-30,2023,5,KIA,KT,W,10,5,5,0,0.500
2023-05-31,2023,5,KIA,KT,W,10,5,5,0,0.500
2023-06-02,2023,6,KIA,롯데,L,10,4,6,0,0.400
2023-06-03,2023,6,KIA,롯데,L,10,4,6,0,0.400
2023-06-04,2023,6,KIA,롯데,W,10,5,5,0,0.500
2023-06-06,2023,6,KIA,SSG,L,10,4,6,0,0.400
2023-06-07,2023,6,KIA,SSG,L,10,4,6,0,0.400
2023-06-08,2023,6,KIA,SSG,L,10,4,6,0,0.400
2023-06-09,2023,6,KIA,두산,W,10,4,6,0,0.400
2023-06-10,2023,6,KIA,두산,W,10,5,5,0,0.500
2023-06-11,2023,6,KIA,두산,L,10,4,6,0,0.400
2023-06-13,2023,6,KIA,키움,L,10,3,7,0,0.300
2023-06-14,2023,6,KIA,키움,L,10,3,7,0,0.300
2023-06-15,2023,6,KIA,키움,W,10,4,6,0,0.400
2023-06-16,2023,6,KIA,NC,W,10,4,6,0,0.400
2023-06-17,2023,6,KIA,NC,L,10,4,6,0,0.400
2023-06-18,2023,6,KIA,NC,D,10,4,5,1,0.444
2023-06-20,2023,6,KIA,한화,W,10,5,4,1,0.556
2023-06-21,2023,6,KIA,한화,L,10,4,5,1,0.444
2023-06-22,2023,6,KIA,한화,L,10,3,6,1,0.333
2023-06-23,2023,6,KIA,KT,L,10,3,6,1,0.333
2023-06-24,2023,6,KIA,KT,W,10,4,5,1,0.444
2023-06-27,2023,6,KIA,키움,L,10,4,5,1,0.444
2023-06-28,2023,6,KIA,키움,L,10,3,6,1,0.333
2023-06-30,2023,6,KIA,LG,L,10,2,7,1,0.222
2023-07-01,2023,7,KIA,LG,W,10,3,6,1,0.333
2023-07-02,2023,7,KIA,LG,L,10,3,7,0,0.300
2023-07-05,2023,7,KIA,SSG,W,10,3,7,0,0.300
2023-07-06,2023,7,KIA,SSG,W,10,4,6,0,0.400
2023-07-07,2023,7,KIA,KT,W,10,5,5,0,0.500
2023-07-08,2023,7,KIA,KT,W,10,6,4,0,0.600
2023-07-09,2023,7,KIA,KT,W,10,6,4,0,0.600
2023-07-12,2023,7,KIA,삼성,W,10,7,3,0,0.700
2023-07-13,2023,7,KIA,삼성,L,10,7,3,0,0.700
2023-07-21,2023,7,KIA,두산,L,10,7,3,0,0.700
2023-07-25,2023,7,KIA,NC,L,10,6,4,0,0.600
2023-07-26,2023,7,KIA,NC,W,10,7,3,0,0.700
2023-07-27,2023,7,KIA,NC,L,10,6,4,0,0.600
2023-07-28,2023,7,KIA,롯데,W,10,6,4,0,0.600
2023-07-29,2023,7,KIA,롯데,W,10,6,4,0,0.600
2023-07-30,2023,7,KIA,롯데,W,10,6,4,0,0.600
2023-08-01,2023,8,KIA,삼성,W,10,6,4,0,0.600
2023-08-02,2023,8,KIA,삼성,L,10,5,5,0,0.500
2023-08-03,2023,8,KIA,삼성,W,10,6,4,0,0.600
2023-08-04,2023,8,KIA,한화,W,10,7,3,0,0.700
2023-08-05,2023,8,KIA,한화,W,10,8,2,0,0.800
2023-08-06,2023,8,KIA,한화,D,10,7,2,1,0.778
2023-08-09,2023,8,KIA,LG,L,10,7,2,1,0.778
2023-08-11,2023,8,KIA,롯데,L,10,6,3,1,0.667
2023-08-12,2023,8,KIA,롯데,W,10,6,3,1,0.667
2023-08-13,2023,8,KIA,롯데,L,10,5,4,1,0.556
2023-08-15,2023,8,KIA,키움,L,10,4,5,1,0.444
2023-08-16,2023,8,KIA,키움,W,10,5,4,1,0.556
2023-08-17,2023,8,KIA,키움,W,10,5,4,1,0.556
2023-08-18,2023,8,KIA,삼성,L,10,4,5,1,0.444
2023-08-19,2023,8,KIA,삼성,W,10,4,5,1,0.444
2023-08-20,2023,8,KIA,삼성,L,10,4,6,0,0.400
2023-08-22,2023,8,KIA,KT,L,10,4,6,0,0.400
2023-08-24,2023,8,KIA,KT,W,10,5,5,0,0.500
2023-08-25,2023,8,KIA,한화,W,10,5,5,0,0.500
2023-08-26,2023,8,KIA,한화,W,10,6,4,0,0.600
2023-08-27,2023,8,KIA,한화,W,10,7,3,0,0.700
2023-08-31,2023,8,KIA,NC,W,10,7,3,0,0.700
2023-09-01,2023,9,KIA,SSG,W,10,7,3,0,0.700
2023-09-02,2023,9,KIA,SSG,W,10,8,2,0,0.800
2023-09-03,2023,9,KIA,SSG,W,10,8,2,0,0.800
2023-09-06,2023,9,KIA,두산,W,10,9,1,0,0.900
2023-09-07,2023,9,KIA,두산,L,10,9,1,0,0.900
2023-09-08,2023,9,KIA,LG,L,10,8,2,0,0.800
2023-09-09,2023,9,KIA,LG,W,10,8,2,0,0.800
